Price,Area,Location,bhk,Lift,Parking,price_per_sqft
52500000,2700,Borivali West,5,1,1,19444.444444444445
15900000,867,Borivali West,2,1,1,18339.10034602076
9900000,539,Borivali West,1,1,1,18367.34693877551
11000000,600,Borivali West,1,1,0,18333.333333333332
10500000,500,Borivali West,1,0,0,21000.0
18500000,1050,Borivali West,2,1,0,17619.04761904762
8600000,550,Borivali West,1,1,0,15636.363636363636
11200000,650,Borivali West,1,0,0,17230.76923076923
11500000,600,Borivali West,1,0,0,19166.666666666668
10000000,600,Borivali West,1,1,0,16666.666666666668
13300000,899,Borivali West,2,0,0,14794.215795328142
10500000,650,Borivali West,1,1,0,16153.846153846154
20000000,1000,Borivali West,2,0,0,20000.0
8900000,600,Borivali West,1,1,0,14833.333333333334
28700000,1670,Borivali West,3,1,0,17185.62874251497
16000000,750,Borivali West,2,1,0,21333.333333333332
6500000,360,Borivali West,1,0,0,18055.555555555555
13500000,742,Borivali West,2,0,0,18194.070080862533
16500000,756,Borivali West,2,1,1,21825.396825396827
23500000,1100,Borivali West,3,1,0,21363.636363636364
9750000,630,Borivali West,2,0,0,15476.190476190477
27500000,1500,Borivali West,3,0,0,18333.333333333332
9500000,650,Borivali West,1,1,1,14615.384615384615
23500000,1100,Borivali West,3,0,0,21363.636363636364
11500000,650,Borivali West,1,0,0,17692.30769230769
14500000,710,Borivali West,2,0,0,20422.535211267605
6500000,400,Borivali West,1,1,0,16250.0
5325000,325,Borivali West,1,1,0,16384.615384615383
9500000,635,Borivali West,1,1,1,14960.629921259842
13500000,900,Borivali West,2,1,0,15000.0
42500000,2400,Borivali West,3,1,0,17708.333333333332
13700000,697,Borivali West,2,1,0,19655.667144906743
22500000,1250,Borivali West,3,1,0,18000.0
8400000,515,Borivali West,1,1,0,16310.679611650485
4850000,300,Borivali West,1,1,0,16166.666666666666
8700000,580,Borivali West,1,1,0,15000.0
13000000,760,Borivali West,2,0,0,17105.263157894737
15500000,900,Borivali West,2,1,1,17222.222222222223
31500000,1600,Borivali West,3,1,0,19687.5
21500000,1350,Borivali West,3,0,0,15925.925925925925
13500000,650,Borivali West,1,1,1,20769.23076923077
18000000,950,Borivali West,3,0,0,18947.36842105263
12500000,570,Borivali West,1,0,0,21929.824561403508
25000000,1160,Borivali West,3,0,0,21551.724137931036
7500000,420,Borivali West,1,0,0,17857.14285714286
9500000,650,Borivali West,1,0,0,14615.384615384615
16000000,750,Borivali West,2,0,0,21333.333333333332
16200000,1050,Borivali West,2,0,0,15428.57142857143
9500000,575,Borivali West,1,1,1,16521.739130434784
18000000,1125,Borivali West,2,1,0,16000.0
12600000,750,Borivali West,2,1,0,16800.0
12700000,750,Borivali West,2,1,0,16933.333333333332
8800000,600,Borivali West,1,1,1,14666.666666666666
